"image_id","true_class","file_name","source","source_url","license","author","notes","image_context"
"dromedary_camel_01","dromedary camel","camel_01.jpg","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Dromedary_camel.jpg","CC BY-SA 3.0","mjr74","Sodere Ethiopia pilot image","ordinary_photo"
"dromedary_camel_02","dromedary camel","camel_02.jpg","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Camelus_dromedarius_DT_-ET_Axum-_0204_%281%29_%2821255924413%29.jpg","CC BY-SA 2.0","Archivo Murcielago Blanco","Axum Ethiopia second camel pilot image","ordinary_photo"
"domestic_goat_01","domestic goat","goat_01.jpg","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Domestic_goat_001.jpg","CC BY-SA 3.0","Jasef","First domestic goat pilot image","ordinary_photo"
"domestic_goat_02","domestic goat","goat_02.jpg","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Goat_house.jpg","CC BY-SA 4.0","Mintsnot","Afar Ethiopia second domestic goat pilot image","ordinary_photo"
"donkey_01","donkey","donkey_01.jpg","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Addis_Ababa_donkeys.jpg","CC BY-SA 4.0","Lucy Shaw","Addis Ababa Ethiopia first donkey pilot image","ordinary_photo_multi_object"
donkey_02,donkey,donkey_02.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_donkey_stands_in_the_middle_of_a_roundabout_in_Baidoa%2C_Somalia%2C_during_a_night_patrol_conducted_by_the_Ethiopian_contingent_of_the_African_Union_Mission_in_Somalia_on_June_22._AMISOM_Photo_-_Tobin_%2814517477954%29.jpg,CC0 1.0,AMISOM Public Information / Tobin Jones,Baidoa Somalia nighttime donkey pilot image,ordinary_photo_night
cattle_01,cattle,cattle_01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Somali_cattle.JPG,Public Domain,Sgt. G.D. Robinson,Kismayo Somalia cattle pilot image,ordinary_photo_multi_object
cattle_02,cattle,cattle_02.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Arado_x_Holstein-Friesian.jpg,CC BY-SA 4.0,Jan Nyssen,Dogu'a Tembien Ethiopia single-cattle pilot image,ordinary_photo
cheetah_01,cheetah,cheetah_01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cheetah_Standing_Tall.jpg,CC BY 4.0,Ashley Lee,Maasai Mara Kenya first cheetah pilot image,ordinary_photo
cheetah_02,cheetah,cheetah_02.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_Cheetah_in_Tanzania.jpg,CC BY-SA 4.0,Kunalk278,Tanzania second cheetah pilot image,ordinary_photo
gerenuk_01,gerenuk,gerenuk_01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Gerenuk_-_Samburu%2C_Kenya_-_2014.JPG,CC0 1.0,Fabiola Leyton and Carlos Castillo,Samburu Kenya first gerenuk pilot image,ordinary_photo
gerenuk_02,gerenuk,gerenuk_02.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Gerenuk.jpg,CC BY 2.0,Valentina Storti,Samburu Kenya second gerenuk pilot image,ordinary_photo
dikdik_01,dikdik,dikdik_01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Kirk%27s_Dik-dik_in_Samburu.jpg,CC BY 2.0,Snake3yes,Samburu Kenya first dikdik pilot image,ordinary_photo
dikdik_02,dikdik,dikdik_02.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Kirk%27s_Dik-dik_%28Madoqua_kirkii%29_%288290851523%29.jpg,CC BY-SA 2.0,Bernard DUPONT,Lake Nakuru Kenya second dikdik pilot image,ordinary_photo
east_african_oryx_01,east african oryx,oryx_01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:East_African_Oryx%2C_Ethiopia.jpg,CC BY-SA 2.0,Rod Waddington,Ethiopia first East African oryx pilot image,ordinary_photo
east_african_oryx_02,east african oryx,oryx_02.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Beisa_Oryx%2C_Samburu_NR%2C_Kenya.jpg,CC BY-SA 3.0,ChrisHodgesUK,Samburu Kenya second East African oryx pilot image,ordinary_photo
striped_hyena_01,striped hyena,striped_hyena_01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Striped_hyena_%28Hyaena_hyaena%29.jpg,CC BY-SA 4.0,Rushikesh Deshmukh DOP,First striped hyena pilot image,ordinary_photo
striped_hyena_02,striped hyena,striped_hyena_02.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Striped_Hyena_%28Hyaena_hyaena%29.jpg,CC BY-SA 3.0,Dr. Shamshad Alam,Gir National Park India striped hyena out-of-region stress-test image,ordinary_photo_out_of_region
