"image_id","true_class","image_context","direct_prediction","direct_confidence","direct_correct","pipeline_animal_detections","pipeline_correct_detections","pipeline_correct"
"dromedary_camel_01","dromedary camel","ordinary_photo","kudu","0.55518997","False","1","0","False"
"dromedary_camel_02","dromedary camel","ordinary_photo","common ostrich","0.8316271","False","2","2","True"
"domestic_goat_01","domestic goat","ordinary_photo","gemsbok","0.67927104","False","1","0","False"
"domestic_goat_02","domestic goat","ordinary_photo","giraffe","0.27786437","False","1","0","False"
"donkey_01","donkey","ordinary_photo_multi_object","domestic sheep","0.6502348","False","3","0","False"
"donkey_02","donkey","ordinary_photo_night","gray wolf","0.56938255","False","1","0","False"
"cattle_01","cattle","ordinary_photo_multi_object","domestic sheep","0.53110045","False","11","4","True"
"cattle_02","cattle","ordinary_photo","cattle","0.97518367","True","1","1","True"
"cheetah_01","cheetah","ordinary_photo","cheetah","0.9987895","True","1","1","True"
"cheetah_02","cheetah","ordinary_photo","cheetah","0.9999292","True","1","1","True"
"gerenuk_01","gerenuk","ordinary_photo","impala","0.9247597","False","1","0","False"
"gerenuk_02","gerenuk","ordinary_photo","gerenuk","0.99931467","True","1","1","True"
"dikdik_01","dikdik","ordinary_photo","dikdik","0.98637587","True","1","1","True"
"dikdik_02","dikdik","ordinary_photo","dikdik","0.75743455","True","1","1","True"
"east_african_oryx_01","east african oryx","ordinary_photo","grants gazelle","0.52585286","False","1","0","False"
"east_african_oryx_02","east african oryx","ordinary_photo","gemsbok","0.9585211","False","1","0","False"
"striped_hyena_01","striped hyena","ordinary_photo","striped hyena","0.99429446","True","1","1","True"
"striped_hyena_02","striped hyena","ordinary_photo_out_of_region","striped hyena","0.9935912","True","1","1","True"
